"ano_exercicio";"questionario_id";"entidade_id";"entidade";"ibge";"municipio";"capital";"uf";"poder";"esfera";"status";"indice_avaliacao";"essenciais_avaliacao";"nivel_avaliacao";"indice_validacao";"essenciais_validacao";"nivel_validacao";"indice_revisao";"essenciais_revisao";"nivel_revisao";"indice_final";"essenciais_final";"nivel_final"
2024;9768;12;Prefeitura Municipal de Abel Figueiredo;"1500131";Abel Figueiredo;false;PA;E;M;V;100.0;100.0;Diamante;96.5;100.0;Diamante;;;;96.5;100.0;Diamante
2024;12808;2591;Prefeitura Municipal de João Lisboa;"2105500";João Lisboa;false;MA;E;M;V;100.0;100.0;Diamante;87.67;100.0;Ouro;;;;87.67;100.0;Ouro
2024;11084;5641;Câmara Municipal de Águas Frias;"4200556";Águas Frias;false;SC;L;M;V;93.56;100.0;Ouro;68.58;76.19;Intermediário;;;;68.58;76.19;Intermediário
2024;14850;5909;Câmara Municipal de Araquari;"4201307";Araquari;false;SC;L;M;V;92.39;100.0;Ouro;66.92;76.19;Intermediário;;;;66.92;76.19;Intermediário
2024;13318;10352;Câmara Municipal de São José do Piauí;"2210201";São José do Piauí;false;PI;L;M;V;56.6;100.0;Intermediário;39.24;90.48;Básico;;;;39.24;90.48;Básico
2024;9449;8541;Câmara Municipal de Marmeleiro;"4115408";Marmeleiro;false;PR;L;M;V;94.82;100.0;Ouro;90.29;100.0;Ouro;;;;90.29;100.0;Ouro
2024;12702;4195;Prefeitura Municipal de Rio Brilhante;"5007208";Rio Brilhante;false;MS;E;M;V;83.79;100.0;Prata;70.16;96.97;Intermediário;;;;70.16;96.97;Intermediário
2024;14758;5349;Prefeitura Municipal de Ubaíra;"2932101";Ubaíra;false;BA;E;M;V;72.96;100.0;Intermediário;68.88;100.0;Intermediário;;;;68.88;100.0;Intermediário
2024;13312;4803;Prefeitura Municipal de São Lourenço da Mata;"2613701";São Lourenço da Mata;false;PE;E;M;V;94.47;100.0;Ouro;85.36;100.0;Ouro;;;;85.36;100.0;Ouro
2024;13445;3817;Prefeitura Municipal de Pintadas;"2924652";Pintadas;false;BA;E;M;V;62.14;75.76;Intermediário;0.0;0.0;Inexistente;;;;0.0;0.0;Inexistente
2024;12093;11241;Defensoria Pública do Estado de Minas Gerais;"3106200";Belo Horizonte;true;MG;D;E;V;71.22;100.0;Intermediário;66.15;76.19;Intermediário;;;;66.15;76.19;Intermediário
2024;16433;8656;Câmara Municipal de Mirandópolis;"3530102";Mirandópolis;false;SP;L;M;V;75.13;100.0;Prata;75.13;100.0;Prata;;;;75.13;100.0;Prata
2024;12932;9731;Câmara Municipal de Ribeira do Piauí;"2208874";Ribeira do Piauí;false;PI;L;M;V;99.39;100.0;Diamante;13.96;19.05;Inicial;;;;13.96;19.05;Inicial
2024;13743;10970;Câmara Municipal de Uruçuca;"2932705";Uruçuca;false;BA;L;M;V;80.33;100.0;Prata;49.12;80.95;Básico;;;;49.12;80.95;Básico
2024;16533;3793;Prefeitura Municipal de Pindamonhangaba;"3538006";Pindamonhangaba;false;SP;E;M;V;88.08;100.0;Ouro;78.55;100.0;Prata;;;;78.55;100.0;Prata
2024;15046;5623;Câmara Municipal de Água Doce;"4200408";Água Doce;false;SC;L;M;V;73.06;100.0;Intermediário;39.65;66.67;Básico;;;;39.65;66.67;Básico
2024;14513;10958;Câmara Municipal de Urandi;"2932606";Urandi;false;BA;L;M;V;78.36;100.0;Prata;33.96;57.14;Básico;;;;33.96;57.14;Básico
2024;10879;2845;Prefeitura Municipal de Macuco;"3302452";Macuco;false;RJ;E;M;V;95.18;100.0;Diamante;67.24;93.94;Intermediário;;;;67.24;93.94;Intermediário
2024;11814;5939;Câmara Municipal de Areia Branca;"2800506";Areia Branca;false;SE;L;M;V;100.0;100.0;Diamante;93.86;100.0;Ouro;;;;93.86;100.0;Ouro
2024;14413;8613;Câmara Municipal de Mercedes;"4115853";Mercedes;false;PR;L;M;V;100.0;100.0;Diamante;98.19;100.0;Diamante;;;;98.19;100.0;Diamante
2024;13771;7172;Câmara Municipal de Dom Pedro;"2103802";Dom Pedro;false;MA;L;M;V;100.0;100.0;Diamante;69.46;71.43;Intermediário;;;;69.46;71.43;Intermediário
2024;10178;2322;Prefeitura Municipal de Itaitinga;"2306256";Itaitinga;false;CE;E;M;V;96.79;100.0;Diamante;75.08;100.0;Prata;;;;75.08;100.0;Prata
2024;14600;226;Prefeitura Municipal de Anchieta;"4200804";Anchieta;false;SC;E;M;V;85.32;100.0;Ouro;57.61;90.91;Intermediário;;;;57.61;90.91;Intermediário
2024;13844;54;Prefeitura Municipal de Água Doce;"4200408";Água Doce;false;SC;E;M;V;71.83;90.91;Intermediário;59.09;78.79;Intermediário;;;;59.09;78.79;Intermediário
2024;15064;4330;Prefeitura Municipal de Salto Veloso;"4215406";Salto Veloso;false;SC;E;M;V;66.87;100.0;Intermediário;55.92;66.67;Intermediário;;;;55.92;66.67;Intermediário
2024;10128;8535;Câmara Municipal de Mariópolis;"4115309";Mariópolis;false;PR;L;M;V;84.77;100.0;Prata;84.77;100.0;Prata;;;;84.77;100.0;Prata
2024;10318;8536;Câmara Municipal de Maripá;"4115358";Maripá;false;PR;L;M;V;94.18;100.0;Ouro;94.18;100.0;Ouro;;;;94.18;100.0;Ouro
2024;11487;3578;Prefeitura Municipal de Paraíso das Águas;"5006275";Paraíso das Águas;false;MS;E;M;V;100.0;100.0;Diamante;81.85;96.97;Elevado;;;;81.85;96.97;Elevado
2024;13910;11358;Companhia de Entrepostos e Armazéns Gerais de São Paulo;"5300108";Brasília;true;DF;EI;F;V;96.63;100.0;Diamante;76.98;100.0;Prata;;;;76.98;100.0;Prata
2024;9777;5206;Prefeitura Municipal de Teolândia;"2931608";Teolândia;false;BA;E;M;V;75.23;100.0;Prata;29.7;66.67;Inicial;;;;29.7;66.67;Inicial
2024;15185;74;Prefeitura Municipal de Águas Mornas;"4200606";Águas Mornas;false;SC;E;M;V;54.37;66.67;Intermediário;47.45;66.67;Básico;;;;47.45;66.67;Básico
2024;11410;2711;Prefeitura Municipal de Lago do Junco;"2105807";Lago do Junco;false;MA;E;M;V;87.37;100.0;Ouro;75.69;100.0;Prata;;;;75.69;100.0;Prata
2024;11351;1595;Prefeitura Municipal de Dom Expedito Lopes;"2203404";Dom Expedito Lopes;false;PI;E;M;V;88.78;100.0;Ouro;56.48;96.97;Intermediário;;;;56.48;96.97;Intermediário
2024;10162;8518;Câmara Municipal de Marialva;"4114807";Marialva;false;PR;L;M;V;87.41;100.0;Ouro;86.22;100.0;Ouro;;;;86.22;100.0;Ouro
2024;10998;8646;Câmara Municipal de Mirador;"4115903";Mirador;false;PR;L;M;V;76.25;100.0;Prata;75.06;100.0;Prata;;;;75.06;100.0;Prata
2024;11317;8531;Câmara Municipal de Mariluz;"4115101";Mariluz;false;PR;L;M;V;100.0;100.0;Diamante;100.0;100.0;Diamante;;;;100.0;100.0;Diamante
2024;10826;3246;Prefeitura Municipal de Naviraí;"5005707";Naviraí;false;MS;E;M;V;95.05;100.0;Diamante;77.72;96.97;Elevado;;;;77.72;96.97;Elevado
2024;13706;7699;Câmara Municipal de Icatu;"2105104";Icatu;false;MA;L;M;V;100.0;100.0;Diamante;67.79;76.19;Intermediário;;;;67.79;76.19;Intermediário
2024;10356;8785;Câmara Municipal de Munhoz de Melo;"4116307";Munhoz de Melo;false;PR;L;M;V;97.0;100.0;Diamante;97.0;100.0;Diamante;;;;97.0;100.0;Diamante
2024;13228;4430;Prefeitura Municipal de Santa Maria;"2409332";Santa Maria;false;RN;E;M;V;100.0;100.0;Diamante;63.16;100.0;Intermediário;;;;63.16;100.0;Intermediário
2024;12168;5354;Prefeitura Municipal de Ubatã;"2932309";Ubatã;false;BA;E;M;V;83.46;100.0;Prata;69.3;100.0;Intermediário;;;;69.3;100.0;Intermediário
2024;10129;8746;Câmara Municipal de Morretes;"4116208";Morretes;false;PR;L;M;V;80.67;100.0;Prata;79.01;100.0;Prata;;;;79.01;100.0;Prata
2024;15958;675;Prefeitura Municipal de Bom Jesus;"4202537";Bom Jesus;false;SC;E;M;V;42.75;87.88;Básico;27.74;63.64;Inicial;;;;27.74;63.64;Inicial
2024;10830;8849;Câmara Municipal de Nossa Senhora das Graças;"4116406";Nossa Senhora das Graças;false;PR;L;M;V;84.97;100.0;Prata;78.34;100.0;Prata;;;;78.34;100.0;Prata
2024;10198;9637;Câmara Municipal de Queimada Nova;"2208650";Queimada Nova;false;PI;L;M;V;71.04;100.0;Intermediário;52.77;85.71;Intermediário;;;;52.77;85.71;Intermediário
2024;13988;11342;Indústrias Nucleares do Brasil S.A.;"5300108";Brasília;true;DF;EI;F;V;85.11;100.0;Ouro;77.16;100.0;Prata;;;;77.16;100.0;Prata
2024;15917;9362;Câmara Municipal de Pindamonhangaba;"3538006";Pindamonhangaba;false;SP;L;M;V;95.29;100.0;Diamante;68.6;76.19;Intermediário;;;;68.6;76.19;Intermediário
2024;13693;10201;Câmara Municipal de São Félix do Piauí;"2209609";São Félix do Piauí;false;PI;L;M;V;25.3;61.9;Inicial;19.72;52.38;Inicial;;;;19.72;52.38;Inicial
2024;15191;2215;Prefeitura Municipal de Iomerê;"4207577";Iomerê;false;SC;E;M;V;91.52;100.0;Ouro;70.55;84.85;Intermediário;;;;70.55;84.85;Intermediário
2024;16373;6724;Câmara Municipal de Casa Branca;"3510807";Casa Branca;false;SP;L;M;V;79.86;100.0;Prata;70.25;100.0;Intermediário;;;;70.25;100.0;Intermediário
2024;16808;9875;Câmara Municipal de Salesópolis;"3545001";Salesópolis;false;SP;L;M;V;79.55;100.0;Prata;79.55;100.0;Prata;;;;79.55;100.0;Prata
2024;10432;10528;Câmara Municipal de Selvíria;"5007802";Selvíria;false;MS;L;M;V;81.59;100.0;Prata;63.97;90.48;Intermediário;;;;63.97;90.48;Intermediário
2024;10983;823;Prefeitura Municipal de Cabeceiras do Piauí;"2202059";Cabeceiras do Piauí;false;PI;E;M;V;82.05;100.0;Prata;58.77;100.0;Intermediário;;;;58.77;100.0;Intermediário
2024;17355;3278;Prefeitura Municipal de Nossa Senhora da Glória;"2804508";Nossa Senhora da Glória;false;SE;E;M;V;84.42;100.0;Prata;83.12;100.0;Prata;;;;83.12;100.0;Prata
2024;12019;4366;Prefeitura Municipal de Santa Cruz;"2411205";Santa Cruz;false;RN;E;M;V;100.0;100.0;Diamante;90.55;100.0;Ouro;;;;90.55;100.0;Ouro
2024;11437;3541;Prefeitura Municipal de Palmeiras;"2923506";Palmeiras;false;BA;E;M;V;56.92;93.94;Intermediário;52.45;93.94;Intermediário;;;;52.45;93.94;Intermediário
2024;9605;3304;Prefeitura Municipal de Nova Canaã;"2922706";Nova Canaã;false;BA;E;M;V;51.87;36.36;Intermediário;17.16;21.21;Inicial;;;;17.16;21.21;Inicial
2024;10836;3379;Prefeitura Municipal de Nova Soure;"2922904";Nova Soure;false;BA;E;M;V;66.2;78.79;Intermediário;51.65;45.45;Intermediário;;;;51.65;45.45;Intermediário
2024;12088;1842;Prefeitura Municipal de Francinópolis;"2204006";Francinópolis;false;PI;E;M;V;84.31;100.0;Prata;65.12;93.94;Intermediário;;;;65.12;93.94;Intermediário
2024;13560;4878;Prefeitura Municipal de São Raimundo Nonato;"2210607";São Raimundo Nonato;false;PI;E;M;V;100.0;100.0;Diamante;0.0;0.0;Inexistente;;;;0.0;0.0;Inexistente
2024;12997;8499;Câmara Municipal de Maravilha;"2704609";Maravilha;false;AL;L;M;V;99.43;100.0;Diamante;34.16;47.62;Básico;;;;34.16;47.62;Básico
2024;16133;9502;Câmara Municipal de Porangaba;"3540507";Porangaba;false;SP;L;M;V;78.72;100.0;Prata;48.37;23.81;Básico;;;;48.37;23.81;Básico
2024;13343;3274;Prefeitura Municipal de Nordestina;"2922656";Nordestina;false;BA;E;M;V;71.57;100.0;Intermediário;63.98;100.0;Intermediário;;;;63.98;100.0;Intermediário
2024;10936;3264;Prefeitura Municipal de Nilópolis;"3303203";Nilópolis;false;RJ;E;M;V;100.0;100.0;Diamante;77.85;69.7;Elevado;;;;77.85;69.7;Elevado
2024;15161;2270;Prefeitura Municipal de Irati;"4207858";Irati;false;SC;E;M;V;68.48;100.0;Intermediário;61.0;100.0;Intermediário;;;;61.0;100.0;Intermediário
2024;11146;4586;Prefeitura Municipal de São Bento;"2110500";São Bento;false;MA;E;M;V;84.71;100.0;Prata;68.69;93.94;Intermediário;;;;68.69;93.94;Intermediário
2024;14254;11333;Companhia de Pesquisa de Recursos Minerais;"5300108";Brasília;true;DF;ED;F;V;84.69;100.0;Prata;86.53;100.0;Ouro;;;;86.53;100.0;Ouro
2024;13540;7411;Câmara Municipal de Francinópolis;"2204006";Francinópolis;false;PI;L;M;V;99.44;100.0;Diamante;45.19;47.62;Básico;;;;45.19;47.62;Básico
2024;14591;3995;Prefeitura Municipal de Prado;"2925501";Prado;false;BA;E;M;V;60.26;81.82;Intermediário;55.46;75.76;Intermediário;;;;55.46;75.76;Intermediário
2024;9923;222;Prefeitura Municipal de Anapurus;"2100808";Anapurus;false;MA;E;M;V;100.0;100.0;Diamante;91.01;93.94;Elevado;;;;91.01;93.94;Elevado
2024;12545;9240;Câmara Municipal de Paulo Afonso;"2924009";Paulo Afonso;false;BA;L;M;V;67.4;57.14;Intermediário;36.99;28.57;Básico;;;;36.99;28.57;Básico
2024;12213;7136;Câmara Municipal de Divina Pastora;"2802007";Divina Pastora;false;SE;L;M;V;100.0;100.0;Diamante;93.9;100.0;Ouro;;;;93.9;100.0;Ouro
2024;14384;9543;Câmara Municipal de Porto Seguro;"2925303";Porto Seguro;false;BA;L;M;V;51.4;80.95;Intermediário;0.0;0.0;Inexistente;;;;0.0;0.0;Inexistente
2024;15872;6310;Câmara Municipal de Braço do Trombudo;"4202859";Braço do Trombudo;false;SC;L;M;V;64.19;95.24;Intermediário;29.03;47.62;Inicial;;;;29.03;47.62;Inicial
2024;14763;11356;Banco da Amazônia S.A.;"5300108";Brasília;true;DF;EI;F;V;66.64;100.0;Intermediário;72.49;100.0;Intermediário;;;;72.49;100.0;Intermediário
2024;14093;11335;Petrobras Transporte S.A.;"5300108";Brasília;true;DF;EI;F;V;95.73;100.0;Diamante;90.88;100.0;Ouro;;;;90.88;100.0;Ouro
2024;16035;7619;Câmara Municipal de Guzolândia;"3518909";Guzolândia;false;SP;L;M;V;85.44;100.0;Ouro;83.47;85.71;Elevado;;;;83.47;85.71;Elevado
2024;11877;3898;Prefeitura Municipal de Poço Verde;"2805505";Poço Verde;false;SE;E;M;V;100.0;100.0;Diamante;90.43;100.0;Ouro;;;;90.43;100.0;Ouro
