Cod_Municipio,Municipio,Ano,PIB_Mil_Reais
1100205,Porto Velho - RO,2021,20059522
1100122,Ji-Paraná - RO,2021,4231113
1100304,Vilhena - RO,2021,4215046
1100023,Ariquemes - RO,2021,3209761
1100049,Cacoal - RO,2021,2792383
1100114,Jaru - RO,2021,1765089
1100189,Pimenta Bueno - RO,2021,1642516
1100288,Rolim de Moura - RO,2021,1565194
1100106,Guajará-Mirim - RO,2021,1054179
1100155,Ouro Preto do Oeste - RO,2021,985868
1100452,Buritis - RO,2021,966552
1100320,São Miguel do Guaporé - RO,2021,905335
1100130,Machadinho D'Oeste - RO,2021,890320
1100098,Espigão D'Oeste - RO,2021,773381
1100056,Cerejeiras - RO,2021,743037
1100338,Nova Mamoré - RO,2021,742687
1100015,Alta Floresta D'Oeste - RO,2021,734469
1100809,Candeias do Jamari - RO,2021,655606
1100254,Presidente Médici - RO,2021,559990
1100148,Nova Brasilândia D'Oeste - RO,2021,548734
1100403,Alto Paraíso - RO,2021,510361
1101492,São Francisco do Guaporé - RO,2021,488043
1100940,Cujubim - RO,2021,487480
1100379,Alto Alegre dos Parecis - RO,2021,483672
1100924,Chupinguaia - RO,2021,468793
1100064,Colorado do Oeste - RO,2021,424807
1100072,Corumbiara - RO,2021,396728
1101401,Monte Negro - RO,2021,389891
1100700,Campo Novo de Rondônia - RO,2021,369377
1100346,Alvorada D'Oeste - RO,2021,352628
1101500,Seringueiras - RO,2021,332987
1100080,Costa Marques - RO,2021,316671
1101203,Ministro Andreazza - RO,2021,297878
1100601,Cacaulândia - RO,2021,275338
1101708,Urupá - RO,2021,273501
1101302,Mirante da Serra - RO,2021,262640
1101609,Theobroma - RO,2021,257426
1101468,Pimenteiras do Oeste - RO,2021,246209
1101005,Governador Jorge Teixeira - RO,2021,239330
1100031,Cabixi - RO,2021,238412
1100502,Novo Horizonte do Oeste - RO,2021,231502
1101757,Vale do Anari - RO,2021,220588
1100296,Santa Luzia D'Oeste - RO,2021,213556
1101104,Itapuã do Oeste - RO,2021,210031
1101807,Vale do Paraíso - RO,2021,185648
1100262,Rio Crespo - RO,2021,184430
1101435,Nova União - RO,2021,157321
1101450,Parecis - RO,2021,155434
1101484,São Felipe D'Oeste - RO,2021,130676
1101559,Teixeirópolis - RO,2021,121301
1101476,Primavera de Rondônia - RO,2021,107030
1100908,Castanheiras - RO,2021,99627
