Cod_IBGE,Municipio,Populacao,Municipio_Limpo,PIB_Milhares_Reais,PIB_Per_Capita,Ranking_Pop,Ranking_PIB,Ranking_Medio,Ranking_Final
1100205,Porto Velho,514873,Porto Velho,20059522,38960.13580047895,1,1,1.0,1
1100122,Ji-Paraná,139359,Ji-Paraná,4231113,30361.246851656513,2,2,2.0,2
1100304,Vilhena,108528,Vilhena,4215046,38838.327436237654,4,3,3.5,3
1100023,Ariquemes,108573,Ariquemes,3209761,29563.160270048724,3,4,3.5,4
1100049,Cacoal,97637,Cacoal,2792383,28599.639480934482,5,5,5.0,5
1100114,Jaru,55583,Jaru,1765089,31755.91457819837,7,6,6.5,6
1100288,Rolim de Moura,62559,Rolim de Moura,1565194,25019.485605588325,6,8,7.0,7
1100189,Pimenta Bueno,39053,Pimenta Bueno,1642516,42058.638260825035,9,7,8.0,8
1100106,Guajará-Mirim,43553,Guajará-Mirim,1054179,24204.509448258443,8,9,8.5,9
1100155,Ouro Preto do Oeste,38681,Ouro Preto do Oeste,985868,25487.13838835604,10,10,10.0,10
